Employee ID,Age,Gender,Department,Job Role,Years At Company,Monthly Salary,Attrition
E0007,26,Male,Sales,Sales Manager,23,31363,No
E0488,25,Female,sales,Sales Executive,30,75547,No
E1082,49,Female,HR,Recruiter,21,112310,Y
E1068,41,Unkown,Finance,Financial Analyst,4,55923,No
E0959,49,Male,sales,Sales Executive,32,61575,Yes
E0953,38,Female,Marketing,Marketing Executive,3,93070,No
E1319,39,Unkown,Operations,Operations Executive,19,143966,No
E0438,36,Unkown,Sales,Sales Manager,16,99211,No
E1264,39,Male,sales,Sales Executive,24,145252,No
E0157,47,Male,Marketing,SEO Specialist,28,94795,No
E1184,44,Male,HR,Recruiter,1,61700,Yes
E1016,22,Male,Sales,Sales Manager,2,149989,No
E0712,24,Male,Operations,Supervisor,20,111957,No
E0099,29,Unkown,Marketing,Marketing Executive,32,128266,Yes
E0634,40,Unkown,Marketing,SEO Specialist,22,118338,Yes
E0048,56,Female,Marketing,SEO Specialist,21,33940,No
E0736,46,Female,HR,HR Executive,6,93139,No
E1258,40,Female,Human Resources,Recruiter,6,93070,No
E0047,45,Male,R&D,Research Analyst,19,45018,No
E0680,45,Unkown,sales,Sales Executive,15,41491,No
E0582,59,Male,Human Resources,Recruiter,34,126499,No
E1004,35,Unkown,HR,Recruiter,7,41548,No
E1380,25,Female,R&D,Scientist,0,112387,No
E0377,59,Female,Human Resources,Recruiter,10,148028,No
E0287,45,Unkown,IT,Software Engineer,27,92863,No
E1220,40,Unkown,Sales,Sales Manager,26,93070,No
E0003,49,Female,Sales,Sales Manager,6,39504,No
E0041,27,Female,Operations,Supervisor,34,80094,No
E1364,24,Unkown,Sales,Sales Manager,10,120144,No
E1428,27,Unkown,R&D,Research Analyst,15,149588,Yes
E0105,25,Female,Operations,Operations Executive,9,146255,No
E0422,45,Female,Operations,Operations Executive,22,101858,No
E0635,23,Unkown,Sales,Sales Manager,1,130134,No
E0763,50,Female,IT,Software Engineer,19,72337,No
E0576,28,Unkown,IT,System Admin,6,143794,No
E1308,24,Male,HR,HR Executive,30,34176,No
E0986,31,Male,Sales,Sales Executive,13,128264,Yes
E0989,34,Unkown,sales,Sales Executive,33,100476,No
E1118,32,Male,Sales,Sales Manager,33,43606,No
E0188,28,Female,Finance,Accountant,27,154593,No
E0518,27,Unkown,R&D,Scientist,16,36004,No
E0016,42,Male,IT,Software Engineer,5,99237,No
E0004,23,Unkown,Marketing,SEO Specialist,19,118036,No
E0046,47,Female,Finance,Financial Analyst,13,90909,Yes
E0560,51,Male,Finance,Accountant,16,75756,No
E0945,52,Male,Human Resources,Recruiter,24,131193,No
E1237,44,Male,Operations,Operations Executive,31,159004,No
E0711,24,Female,HR,Recruiter,12,147335,No
E1448,28,Female,HR,HR Executive,9,37446,No
E0577,51,Female,Human Resources,Recruiter,29,104159,No
E0464,50,Unkown,Marketing,Marketing Executive,13,105785,No
E0160,54,Female,Sales,Sales Executive,8,72951,No
E0058,59,Male,Operations,Operations Executive,26,98102,No
E0670,57,Male,R&D,Scientist,17,49315,Yes
E1249,60,Unkown,Finance,Financial Analyst,31,138830,No
E0024,22,Female,Sales,Sales Manager,27,158143,Yes
E0656,39,Male,sales,Sales Executive,35,121639,No
E1770,44,Unkown,Marketing,Marketing Executive,11,41165,No
E0696,48,Unkown,Marketing,Marketing Executive,32,58879,No
E0734,38,Female,Human Resources,Recruiter,14,104253,No
E0943,33,Unkown,Operations,Supervisor,7,147500,N
E0268,49,Unkown,Human Resources,Recruiter,24,90865,Yes
E0753,41,Unkown,R&D,Research Analyst,4,53144,No
E0688,37,Unkown,Human Resources,Recruiter,1,31523,Yes
E0034,45,Unkown,Marketing,Marketing Executive,3,55715,Yes
E1377,30,Unkown,Operations,Operations Executive,8,78409,No
E1371,44,Male,Operations,Operations Executive,11,36637,No
E1147,42,Unkown,Marketing,Marketing Executive,27,67795,No
E0096,33,Male,HR,Recruiter,19,135988,No
E0934,26,Male,Finance,Accountant,7,152842,No
E1003,50,Male,Human Resources,Recruiter,27,59650,No
E1415,52,Unkown,R&D,Scientist,17,67311,No
E0502,32,Unkown,HR,HR Executive,19,33691,No
E0117,23,Female,Operations,Operations Executive,16,86560,No
E0833,52,Male,HR,HR Executive,31,39775,Yes
E0127,33,Unkown,Operations,Operations Executive,12,39551,No
E0913,45,Male,HR,Recruiter,30,111175,No
E0426,59,Male,R&D,Research Analyst,1,155037,No
E0219,44,Female,Operations,Operations Executive,17,132621,Yes
E0396,60,Male,sales,Sales Executive,17,107331,Yes
E1006,24,Unkown,IT,System Admin,12,127033,No
E0644,54,Male,Sales,Sales Manager,34,112257,No
E1254,33,Unkown,R&D,Scientist,26,120903,No
E1440,40,Female,Sales,Sales Manager,5,152501,No
E0448,48,Unkown,R&D,Scientist,16,59783,Yes
E1157,55,Male,Finance,Financial Analyst,11,118352,No
E1492,39,Unkown,IT,System Admin,12,73439,Yes
E1431,43,Unkown,Marketing,Marketing Executive,2,150471,No
E0627,52,Unkown,HR,Recruiter,0,34632,No
E0894,49,Female,HR,Recruiter,0,147980,No
E0197,37,Female,Finance,Accountant,14,33670,No
E0740,53,Male,IT,Software Engineer,19,47493,No
E0603,25,Male,Sales,Sales Manager,12,67684,No
E0107,40,Unkown,IT,System Admin,0,44636,Yes
E0076,42,Female,Sales,Sales Manager,10,113402,No
E0622,30,Unkown,Operations,Supervisor,26,122621,No
E0012,30,Female,HR,Recruiter,23,89594,No
E1132,39,Male,sales,Sales Executive,9,80965,No
E1473,30,Male,R&D,Research Analyst,33,53162,No
E1192,47,Male,Finance,Accountant,18,49035,No
E0059,29,Female,Operations,Operations Executive,9,71841,No
E0557,40,Male,Sales,Sales Manager,14,34119,No
E0102,50,Female,R&D,Research Analyst,7,32834,No
E1216,49,Female,IT,Software Engineer,22,104875,Yes
E0442,45,Unkown,HR,HR Executive,24,131194,No
E0359,58,Unkown,Human Resources,Recruiter,22,53182,No
E1310,27,Unkown,sales,Sales Executive,35,52400,No
E1390,40,Male,Operations,Operations Executive,30,55049,No
E1265,25,Male,Operations,Operations Executive,17,72061,No
E0051,30,Female,IT,System Admin,33,53850,N
E0072,60,Unkown,R&D,Scientist,33,61899,Unknown
E0255,56,Female,Marketing,SEO Specialist,22,147160,No
E0978,22,Female,IT,Software Engineer,27,67026,No
E0289,39,Male,sales,Sales Executive,15,63955,Yes
E0405,57,Female,HR,Recruiter,33,94159,No
E1223,40,Unkown,Finance,Accountant,6,97910,No
E1202,49,Male,HR,HR Executive,16,39572,Yes
E0493,41,Unkown,HR,HR Executive,13,116207,No
E0743,49,Female,Operations,Operations Executive,9,62042,No
E1419,24,Male,IT,Software Engineer,29,64159,No
E0445,23,Unkown,Marketing,Marketing Executive,15,67956,No
E0955,38,Unkown,Marketing,SEO Specialist,24,86381,No
E0979,40,Female,HR,Recruiter,5,158195,No
E1005,29,Female,R&D,Research Analyst,35,74989,No
E1151,32,Male,Sales,Sales Executive,32,38113,Yes
E0541,38,Male,Operations,Supervisor,9,68925,No
E1394,56,Unkown,Sales,Sales Manager,30,30080,Yes
E1075,49,Female,Sales,Sales Manager,4,54497,No
E1485,49,Female,Operations,Supervisor,3,63905,Yes
E1284,53,Female,HR,HR Executive,5,128091,Yes
E0221,56,Female,IT,System Admin,32,125612,No
E0964,52,Female,HR,Recruiter,23,83822,No
E1106,49,Female,Finance,Accountant,10,44188,No
E0925,30,Female,sales,Sales Executive,12,69222,No
E0086,56,Female,Finance,Financial Analyst,15,140278,No
E0367,56,Female,Sales,Sales Manager,21,92014,No
E0569,48,Unkown,HR,HR Executive,31,104757,No
E0317,21,Male,Finance,Accountant,3,125033,No
E1053,50,Female,Sales,Sales Executive,35,50291,No
E0803,40,Female,Operations,Operations Executive,26,61020,No
E0966,38,Female,Sales,Sales Manager,4,39349,No
E0690,52,Unkown,Human Resources,Recruiter,28,49952,Yes
E0278,50,Female,Marketing,Marketing Executive,26,44781,No
E1267,52,Male,R&D,Scientist,24,122298,Yes
E0797,38,Male,Human Resources,Recruiter,16,94797,Yes
E1289,48,Male,Operations,Operations Executive,7,48345,No
E0385,50,Unkown,HR,Recruiter,31,156506,No
E0932,53,Male,Sales,Sales Manager,18,135005,No
E0689,40,Unkown,Operations,Operations Executive,24,139367,Yes
E0400,48,Unkown,Sales,Sales Manager,7,134460,N
E0969,31,Female,HR,Recruiter,31,49947,N
E0081,35,Female,IT,Software Engineer,27,48446,No
E0725,24,Unkown,IT,Software Engineer,17,47558,No
E0066,45,Male,HR,Recruiter,6,79369,No
E0981,34,Male,Marketing,Marketing Executive,34,90980,No
E0433,52,Unkown,sales,Sales Executive,10,155700,No
E0916,26,Female,IT,System Admin,25,53707,No
E0954,35,Female,Marketing,SEO Specialist,14,111089,No
E0808,56,Male,R&D,Scientist,25,42281,No
E0434,44,Male,Human Resources,Recruiter,18,117077,No
E1305,39,Male,R&D,Scientist,24,97930,Yes
E0767,53,Unkown,HR,HR Executive,1,111391,No
E0616,57,Female,R&D,Research Analyst,23,121464,No
E0698,59,Female,HR,HR Executive,12,158948,No
E0002,56,Female,Finance,Accountant,21,92268,No
E0471,26,Unkown,Operations,Operations Executive,0,94721,No
E1366,46,Male,Finance,Accountant,24,41050,No
E0437,21,Male,R&D,Scientist,30,100473,No
E0781,35,Unkown,R&D,Research Analyst,13,34031,No
E1158,54,Male,HR,HR Executive,31,151311,No
E0629,47,Male,HR,HR Executive,0,94168,No
E0060,21,Male,sales,Sales Executive,30,68833,No
E1173,55,Male,Finance,Financial Analyst,3,62043,No
E0904,36,Male,Human Resources,Recruiter,22,80615,Yes
E0122,36,Male,Sales,Sales Executive,29,153602,No
E0214,35,Female,Marketing,SEO Specialist,18,93070,No
E0578,30,Male,IT,System Admin,27,32344,No
E1323,38,Unkown,Marketing,Marketing Executive,22,136699,No
E0029,57,Female,sales,Sales Executive,27,142297,Yes
E0665,51,Male,Human Resources,Recruiter,18,45587,Yes
E1022,29,Unkown,sales,Sales Executive,15,115484,No
E1457,27,Female,IT,Software Engineer,22,132044,No
E0469,57,Unkown,Human Resources,Recruiter,8,52637,No
E1189,30,Unkown,Finance,Accountant,26,51447,No
E1101,24,Unkown,Operations,Supervisor,11,117370,Yes
E0733,49,Male,Marketing,Marketing Executive,8,48061,No
E0259,25,Unkown,R&D,Research Analyst,24,117752,No
E0166,45,Male,Human Resources,Recruiter,12,69656,No
E0723,32,Unkown,sales,Sales Executive,3,142107,No
E0484,35,Male,Sales,Sales Manager,32,126128,No
E0432,58,Female,IT,System Admin,13,58659,No
E0749,51,Unkown,Operations,Supervisor,9,125394,No
E1402,56,Unkown,R&D,Scientist,19,127426,Unknown
E1243,40,Unkown,R&D,Scientist,33,145515,No
E0338,30,Female,Operations,Supervisor,20,107716,Yes
E0757,60,Female,Sales,Sales Executive,0,57567,No
E0926,52,Female,IT,Software Engineer,10,83829,No
E1469,43,Male,HR,HR Executive,3,134018,No
E0248,37,Female,IT,System Admin,16,80507,Yes
E1468,31,Female,Operations,Supervisor,11,121187,No
E0814,57,Male,sales,Sales Executive,6,54929,No
E0515,22,Unkown,HR,HR Executive,7,93070,No
E0073,39,Female,Marketing,Marketing Executive,11,90244,No
E0137,55,Unkown,sales,Sales Executive,35,86917,No
E0094,39,Female,Marketing,SEO Specialist,8,130521,Yes
E0294,27,Female,Operations,Supervisor,22,44936,No
E1500,36,Male,Finance,Accountant,34,33711,No
E0009,33,Male,Sales,Sales Executive,1,95203,No
E0182,45,Male,sales,Sales Executive,20,115464,No
E0754,40,Unkown,Marketing,SEO Specialist,35,130279,Yes
E1423,59,Male,Human Resources,Recruiter,32,137918,No
E1002,25,Female,Finance,Accountant,6,145595,No
E0732,26,Female,sales,Sales Executive,5,142259,Yes
E0036,35,Female,Sales,Sales Executive,29,140775,Yes
E0304,43,Unkown,Operations,Operations Executive,21,61864,No
E0055,50,Male,Marketing,Marketing Executive,23,102505,No
E0565,37,Male,R&D,Scientist,34,106556,Unknown
E0865,49,Unkown,Finance,Accountant,17,66679,No
E0532,40,Male,Marketing,Marketing Executive,10,84045,Yes
E0316,32,Male,Operations,Supervisor,6,68833,No
E1412,56,Female,IT,Software Engineer,7,101066,No
E0339,39,Male,R&D,Scientist,9,143645,No
E0637,45,Female,sales,Sales Executive,2,103379,Unknown
E1453,40,Female,Finance,Accountant,18,94250,Yes
E0245,44,Male,Finance,Accountant,17,117808,Yes
E0664,37,Unkown,Human Resources,Recruiter,16,85725,No
E1034,58,Unkown,Marketing,SEO Specialist,17,65896,Yes
E0496,52,Male,Human Resources,Recruiter,35,56772,No
E0208,49,Female,HR,HR Executive,10,159789,No
E0575,37,Male,Finance,Accountant,16,137849,No
E0355,40,Male,HR,Recruiter,12,99524,Yes
E0886,32,Male,R&D,Scientist,24,74442,No
E0739,21,Unkown,Finance,Accountant,3,135093,No
E0731,38,Female,Human Resources,Recruiter,17,74535,No
E0792,40,Female,Finance,Financial Analyst,2,149554,No
E0470,21,Female,HR,Recruiter,19,91838,Yes
E1495,47,Female,IT,Software Engineer,2,79369,Yes
E1337,39,Female,Sales,Sales Executive,6,95169,No
E1320,34,Unkown,Operations,Operations Executive,11,137104,No
E0313,50,Unkown,R&D,Scientist,24,38855,No
E0296,22,Female,IT,System Admin,19,126169,No
E0593,54,Unkown,Sales,Sales Executive,6,29674,Unknown
E0524,21,Male,HR,Recruiter,16,158672,No
E0661,60,Male,Finance,Financial Analyst,10,96401,Yes
E0574,31,Female,IT,System Admin,23,29148,Yes
E1958,23,Unkown,Human Resources,Recruiter,21,39451,No
E0994,44,Male,R&D,Scientist,4,145649,No
E1341,43,Unkown,Finance,Accountant,4,143979,No
E0760,25,Female,Finance,Financial Analyst,31,115682,No
E1370,50,Unkown,Finance,Accountant,5,132234,No
E0873,33,Female,Operations,Operations Executive,23,45693,No
E0465,27,Female,sales,Sales Executive,6,67019,No
E1470,32,Female,Human Resources,Recruiter,18,39687,No
E1131,59,Unkown,Marketing,Marketing Executive,20,40839,No
E0450,58,Unkown,Human Resources,Recruiter,10,109815,No
E0132,22,Female,Marketing,Marketing Executive,4,43694,No
E1268,46,Female,Marketing,Marketing Executive,5,43102,No
E0177,53,Male,Finance,Financial Analyst,3,81295,No
E0535,59,Male,HR,HR Executive,12,97866,Yes
E0834,29,Female,R&D,Research Analyst,1,85254,No
E0592,57,Male,sales,Sales Executive,21,121489,No
E0424,25,Female,sales,Sales Executive,14,96048,Yes
E0420,32,Female,Finance,Financial Analyst,23,141067,No
E1490,45,Male,Marketing,SEO Specialist,8,31186,No
E0775,35,Unkown,HR,Recruiter,16,37927,No
E0841,53,Male,IT,Software Engineer,16,129648,No
E0499,46,Unkown,HR,Recruiter,21,41951,No
E0735,32,Female,IT,System Admin,0,124561,No
E1981,29,Unkown,Finance,Financial Analyst,2,67796,Yes
E0579,54,Female,IT,System Admin,25,35100,No
E0773,53,Female,Operations,Operations Executive,17,93070,Unknown
E0251,54,Female,Operations,Operations Executive,7,68482,No
E1098,59,Unkown,sales,Sales Executive,7,134450,No
E0997,27,Female,sales,Sales Executive,15,38616,Yes
E0490,23,Female,HR,Recruiter,8,88323,No
E0619,41,Female,Finance,Financial Analyst,29,39495,No
E0163,41,Unkown,R&D,Research Analyst,23,91055,No
E1481,44,Female,Marketing,Marketing Executive,35,150047,No
E1278,55,Unkown,Finance,Financial Analyst,31,93070,No
E0444,36,Unkown,Sales,Sales Executive,32,68297,No
E0098,46,Unkown,Sales,Sales Executive,31,83299,Unknown
E0353,23,Male,Human Resources,Recruiter,21,157721,Yes
E0429,29,Unkown,IT,Software Engineer,14,105719,Yes
E1039,33,Female,R&D,Scientist,8,89509,No
E1489,37,Male,Finance,Accountant,35,117095,Yes
E1259,51,Unkown,Marketing,Marketing Executive,1,29334,No
E0507,33,Male,Marketing,Marketing Executive,2,111427,No
E0425,34,Unkown,R&D,Research Analyst,27,147550,Unknown
E0311,54,Male,sales,Sales Executive,18,93070,No
E0892,27,Unkown,Human Resources,Recruiter,23,121932,No
E0229,38,Male,IT,System Admin,26,37803,No
